4.1.1.svg|Go straight
4.1.2.svg|Go right
4.1.3.svg|Go left
4.1.4.svg|Go straight or right
4.1.5.svg|Go straight or left
4.1.6.svg|Go right or left
4.2.1.svg|Detour on the right
4.2.2.svg|Detour on the left
4.2.3.svg|Detour on the right or left
4.3.svg|Direction of roundabout traffic
4.4.1.svg|[[Cycle path]]
4.4.2.svg|End of a cycle path
4.5.1.svg|Footpath
4.5.2.svg|[[Shared-use path]]
4.5.3.svg|End of shared-use path
4.5.4.svg|Segregated pedestrian and cycle path
4.5.5.svg|Segregated pedestrian and cycle path
4.5.6.svg|End of segregated pedestrian and cycle path
4.5.7.svg|End of segregated pedestrian and cycle path
4.6-50.svg|Minimum speed limit
4.7-50.svg|End of minimum speed limit
4.8.1.svg|Direction of movement of vehicles with dangerous goods
4.8.2.svg|Direction of movement of vehicles with dangerous goods
4.8.3.svg|Direction of movement of vehicles with dangerous goods
